raceId,year,round,circuitId,name,date,time,url,driverId,grid,position,datetime,ls_driver_points,ls_constructor_points,last_circuit_position,last_position,last_position2,last_position3,last_position4,last_position5
274,1993.0,2.0,18.0,Brazilian Grand Prix,1993-03-28,\N,http://en.wikipedia.org/wiki/1993_Brazilian_Grand_Prix,105.0,25.0,4,1993-03-28,6.0,6.0,6.0,6.0,7.0,7.0,13.0,15.0
274,1993.0,2.0,18.0,Brazilian Grand Prix,1993-03-28,\N,http://en.wikipedia.org/wiki/1993_Brazilian_Grand_Prix,102.0,3.0,1,1993-03-28,50.0,99.0,1.0,2.0,3.0,1.0,5.0,1.0
274,1993.0,2.0,18.0,Brazilian Grand Prix,1993-03-28,\N,http://en.wikipedia.org/wiki/1993_Brazilian_Grand_Prix,55.0,9.0,3,1993-03-28,18.0,21.0,4.0,4.0,5.0,3.0,4.0,3.0
276,1993.0,4.0,21.0,San Marino Grand Prix,1993-04-25,\N,http://en.wikipedia.org/wiki/1993_San_Marino_Grand_Prix,84.0,10.0,2,1993-04-25,38.0,91.0,4.0,3.0,4.0,2.0,4.0,4.0
277,1993.0,5.0,4.0,Spanish Grand Prix,1993-05-09,\N,http://en.wikipedia.org/wiki/1993_Spanish_Grand_Prix,102.0,3.0,2,1993-05-09,50.0,99.0,9.0,1.0,2.0,3.0,1.0,5.0
277,1993.0,5.0,4.0,Spanish Grand Prix,1993-05-09,\N,http://en.wikipedia.org/wiki/1993_Spanish_Grand_Prix,119.0,5.0,3,1993-05-09,56.0,164.0,3.0,1.0,5.0,3.0,8.0,2.0
277,1993.0,5.0,4.0,Spanish Grand Prix,1993-05-09,\N,http://en.wikipedia.org/wiki/1993_Spanish_Grand_Prix,77.0,11.0,3,1993-05-09,49.0,99.0,4.0,6.0,1.0,2.0,2.0,4.0
278,1993.0,6.0,6.0,Monaco Grand Prix,1993-05-23,\N,http://en.wikipedia.org/wiki/1993_Monaco_Grand_Prix,77.0,7.0,4,1993-05-23,49.0,99.0,3.0,6.0,6.0,1.0,2.0,2.0
278,1993.0,6.0,6.0,Monaco Grand Prix,1993-05-23,\N,http://en.wikipedia.org/wiki/1993_Monaco_Grand_Prix,102.0,3.0,1,1993-05-23,50.0,99.0,1.0,2.0,1.0,2.0,3.0,1.0
278,1993.0,6.0,6.0,Monaco Grand Prix,1993-05-23,\N,http://en.wikipedia.org/wiki/1993_Monaco_Grand_Prix,55.0,5.0,2,1993-05-23,18.0,21.0,3.0,8.0,4.0,5.0,3.0,4.0
278,1993.0,6.0,6.0,Monaco Grand Prix,1993-05-23,\N,http://en.wikipedia.org/wiki/1993_Monaco_Grand_Prix,117.0,1.0,3,1993-05-23,5.0,10.0,5.0,1.0,1.0,3.0,3.0,4.0
278,1993.0,6.0,6.0,Monaco Grand Prix,1993-05-23,\N,http://en.wikipedia.org/wiki/1993_Monaco_Grand_Prix,84.0,13.0,3,1993-05-23,38.0,91.0,5.0,3.0,3.0,4.0,2.0,4.0
279,1993.0,7.0,7.0,Canadian Grand Prix,1993-06-13,\N,http://en.wikipedia.org/wiki/1993_Canadian_Grand_Prix,102.0,8.0,4,1993-06-13,50.0,99.0,1.0,1.0,2.0,1.0,2.0,3.0
279,1993.0,7.0,7.0,Canadian Grand Prix,1993-06-13,\N,http://en.wikipedia.org/wiki/1993_Canadian_Grand_Prix,88.0,16.0,4,1993-06-13,0.0,6.0,12.0,10.0,9.0,8.0,10.0,12.0
279,1993.0,7.0,7.0,Canadian Grand Prix,1993-06-13,\N,http://en.wikipedia.org/wiki/1993_Canadian_Grand_Prix,30.0,3.0,2,1993-06-13,53.0,91.0,2.0,3.0,3.0,7.0,3.0,2.0
279,1993.0,7.0,7.0,Canadian Grand Prix,1993-06-13,\N,http://en.wikipedia.org/wiki/1993_Canadian_Grand_Prix,77.0,5.0,3,1993-06-13,49.0,99.0,1.0,14.0,6.0,6.0,1.0,2.0
279,1993.0,7.0,7.0,Canadian Grand Prix,1993-06-13,\N,http://en.wikipedia.org/wiki/1993_Canadian_Grand_Prix,117.0,1.0,1,1993-06-13,5.0,10.0,5.0,4.0,1.0,1.0,3.0,3.0
279,1993.0,7.0,7.0,Canadian Grand Prix,1993-06-13,\N,http://en.wikipedia.org/wiki/1993_Canadian_Grand_Prix,123.0,24.0,4,1993-06-13,2.0,6.0,10.0,5.0,8.0,7.0,10.0,12.0
279,1993.0,7.0,7.0,Canadian Grand Prix,1993-06-13,\N,http://en.wikipedia.org/wiki/1993_Canadian_Grand_Prix,109.0,11.0,3,1993-06-13,0.0,2.0,9.0,4.0,13.0,9.0,11.0,3.0
280,1993.0,8.0,8.0,French Grand Prix,1993-07-04,\N,http://en.wikipedia.org/wiki/1993_French_Grand_Prix,110.0,25.0,4,1993-07-04,8.0,8.0,6.0,9.0,6.0,8.0,8.0,5.0
280,1993.0,8.0,8.0,French Grand Prix,1993-07-04,\N,http://en.wikipedia.org/wiki/1993_French_Grand_Prix,100.0,9.0,4,1993-07-04,4.0,6.0,5.0,8.0,5.0,6.0,10.0,9.0
280,1993.0,8.0,8.0,French Grand Prix,1993-07-04,\N,http://en.wikipedia.org/wiki/1993_French_Grand_Prix,123.0,20.0,4,1993-07-04,2.0,6.0,12.0,12.0,5.0,8.0,7.0,10.0
280,1993.0,8.0,8.0,French Grand Prix,1993-07-04,\N,http://en.wikipedia.org/wiki/1993_French_Grand_Prix,119.0,12.0,3,1993-07-04,56.0,164.0,2.0,4.0,1.0,5.0,3.0,8.0
280,1993.0,8.0,8.0,French Grand Prix,1993-07-04,\N,http://en.wikipedia.org/wiki/1993_French_Grand_Prix,84.0,3.0,3,1993-07-04,38.0,91.0,3.0,6.0,3.0,3.0,4.0,2.0
280,1993.0,8.0,8.0,French Grand Prix,1993-07-04,\N,http://en.wikipedia.org/wiki/1993_French_Grand_Prix,102.0,5.0,3,1993-07-04,50.0,99.0,3.0,18.0,1.0,2.0,1.0,2.0
280,1993.0,8.0,8.0,French Grand Prix,1993-07-04,\N,http://en.wikipedia.org/wiki/1993_French_Grand_Prix,117.0,2.0,1,1993-07-04,5.0,10.0,2.0,1.0,4.0,1.0,1.0,3.0
281,1993.0,9.0,9.0,British Grand Prix,1993-07-11,\N,http://en.wikipedia.org/wiki/1993_British_Grand_Prix,117.0,1.0,1,1993-07-11,5.0,10.0,3.0,1.0,1.0,4.0,1.0,1.0
281,1993.0,9.0,9.0,British Grand Prix,1993-07-11,\N,http://en.wikipedia.org/wiki/1993_British_Grand_Prix,119.0,5.0,2,1993-07-11,56.0,164.0,2.0,10.0,4.0,1.0,5.0,3.0
281,1993.0,9.0,9.0,British Grand Prix,1993-07-11,\N,http://en.wikipedia.org/wiki/1993_British_Grand_Prix,30.0,3.0,2,1993-07-11,53.0,91.0,4.0,2.0,3.0,3.0,7.0,3.0
281,1993.0,9.0,9.0,British Grand Prix,1993-07-11,\N,http://en.wikipedia.org/wiki/1993_British_Grand_Prix,102.0,4.0,3,1993-07-11,50.0,99.0,4.0,4.0,18.0,1.0,2.0,1.0
281,1993.0,9.0,9.0,British Grand Prix,1993-07-11,\N,http://en.wikipedia.org/wiki/1993_British_Grand_Prix,84.0,6.0,4,1993-07-11,38.0,91.0,3.0,5.0,6.0,3.0,3.0,4.0
281,1993.0,9.0,9.0,British Grand Prix,1993-07-11,\N,http://en.wikipedia.org/wiki/1993_British_Grand_Prix,55.0,12.0,3,1993-07-11,18.0,21.0,8.0,3.0,8.0,4.0,5.0,3.0
281,1993.0,9.0,9.0,British Grand Prix,1993-07-11,\N,http://en.wikipedia.org/wiki/1993_British_Grand_Prix,109.0,16.0,3,1993-07-11,0.0,2.0,13.0,7.0,4.0,13.0,9.0,11.0
282,1993.0,10.0,10.0,German Grand Prix,1993-07-25,\N,http://en.wikipedia.org/wiki/1993_German_Grand_Prix,105.0,26.0,4,1993-07-25,6.0,6.0,9.0,11.0,6.0,7.0,7.0,13.0
