grid,last_circuit_position,last_position,last_position2,last_position3,last_position4,last_position5,ls_constructor_points,ls_driver_points,position
7.0,10.0,12.0,7.0,3.0,3.0,2.0,42.0,26.0,3
18.0,6.0,9.0,12.0,8.0,10.0,5.0,5.0,4.0,4
5.0,6.0,5.0,6.0,3.0,2.0,3.0,71.0,24.0,2
2.0,2.0,3.0,2.0,2.0,12.0,1.0,71.0,41.0,2
6.0,3.0,4.0,12.0,7.0,3.0,3.0,42.0,26.0,3
4.0,6.0,1.0,1.0,1.0,1.0,2.0,118.0,91.0,1
9.0,1.0,1.0,1.0,2.0,1.0,1.0,118.0,13.0,3
16.0,9.0,7.0,13.0,10.0,9.0,8.0,7.0,0.0,4
8.0,10.0,12.0,11.0,7.0,8.0,10.0,103.0,0.0,3
19.0,5.0,12.0,9.0,12.0,8.0,10.0,5.0,4.0,4
1.0,2.0,1.0,1.0,1.0,2.0,1.0,103.0,92.0,1
3.0,6.0,3.0,3.0,2.0,2.0,12.0,71.0,41.0,2
5.0,1.0,1.0,1.0,1.0,1.0,1.0,118.0,91.0,3
20.0,8.0,4.0,15.0,4.0,9.0,6.0,6.0,4.0,4
11.0,11.0,3.0,6.0,5.0,4.0,11.0,42.0,16.0,3
14.0,14.0,9.0,6.0,5.0,10.0,14.0,9.0,3.0,4
2.0,1.0,1.0,1.0,1.0,1.0,2.0,103.0,92.0,1
18.0,12.0,14.0,12.0,9.0,12.0,8.0,5.0,4.0,3
4.0,3.0,3.0,3.0,3.0,2.0,2.0,71.0,41.0,2
1.0,2.0,4.0,1.0,1.0,1.0,1.0,118.0,91.0,2
4.0,4.0,3.0,3.0,3.0,3.0,2.0,71.0,41.0,4
14.0,5.0,9.0,3.0,6.0,5.0,4.0,42.0,16.0,3
13.0,11.0,11.0,9.0,6.0,5.0,10.0,9.0,3.0,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,103.0,92.0,3
5.0,3.0,2.0,5.0,6.0,3.0,2.0,71.0,24.0,1
16.0,8.0,6.0,11.0,9.0,6.0,5.0,9.0,3.0,4
13.0,10.0,6.0,5.0,5.0,3.0,9.0,13.0,8.0,4
7.0,3.0,11.0,3.0,3.0,3.0,3.0,71.0,41.0,4
1.0,2.0,2.0,4.0,1.0,1.0,1.0,118.0,91.0,2
9.0,5.0,10.0,9.0,3.0,6.0,5.0,42.0,16.0,3
4.0,4.0,1.0,2.0,5.0,6.0,3.0,71.0,24.0,3
2.0,1.0,5.0,1.0,1.0,1.0,1.0,103.0,92.0,1
8.0,4.0,5.0,4.0,12.0,7.0,3.0,42.0,26.0,3
5.0,7.0,2.0,7.0,4.0,4.0,4.0,28.0,19.0,3
15.0,10.0,7.0,14.0,12.0,9.0,12.0,5.0,4.0,3
10.0,7.0,11.0,6.0,5.0,5.0,3.0,13.0,8.0,3
6.0,2.0,5.0,1.0,2.0,5.0,6.0,71.0,24.0,2
5.0,11.0,7.0,12.0,11.0,7.0,8.0,103.0,0.0,1
9.0,4.0,6.0,2.0,7.0,4.0,4.0,28.0,19.0,4
2.0,2.0,1.0,5.0,1.0,1.0,1.0,103.0,92.0,1
4.0,1.0,12.0,11.0,3.0,3.0,3.0,71.0,41.0,2
9.0,10.0,1.0,7.0,12.0,11.0,7.0,103.0,0.0,3
3.0,1.0,1.0,1.0,5.0,1.0,1.0,103.0,92.0,4
4.0,12.0,3.0,12.0,11.0,3.0,3.0,71.0,41.0,2
1.0,2.0,2.0,2.0,4.0,1.0,1.0,118.0,91.0,1
16.0,2.0,11.0,1.0,1.0,5.0,1.0,103.0,92.0,1
8.0,1.0,1.0,2.0,2.0,4.0,1.0,118.0,91.0,2
13.0,7.0,4.0,10.0,9.0,3.0,6.0,42.0,16.0,2
6.0,5.0,5.0,11.0,6.0,5.0,5.0,13.0,8.0,3
4.0,12.0,4.0,1.0,7.0,12.0,11.0,103.0,0.0,3
